,Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
245,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,12000,Electric,1057.0,Automatic,kWh,59900000.0
246,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,4000,Electric,105.0,Automatic,kWh,63300000.0
247,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,33000,Electric,105.0,Automatic,kWh,60000000.0
248,BMW X5  2002 3.0i for Sale,,2002,185000,Petrol,3000.0,Automatic,cc,4325000.0
249,BMW X1  2017 sDrive18i A/T for Sale,,2017,80000,Petrol,1500.0,Automatic,cc,7000000.0
250,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,3000,Electric,105.7,Automatic,kWh,63500000.0
251,BMW i5  2023 eDrive40 M Sport for Sale,,2023,19800,Electric,81.0,Automatic,kWh,32000000.0
252,BMW iX3  2021 M Sport for Sale,,2021,9500,Electric,73.0,Automatic,kWh,21200000.0
253,BMW 7 Series 5th (F01) Generation 2011 750Li for Sale,,2011,108000,Petrol,4400.0,Automatic,cc,16500000.0
254,BMW X1  2017 sDrive18i A/T for Sale,,2017,55000,Petrol,1500.0,Automatic,cc,7200000.0
255,BMW 7 Series 4th (E65) Generation 2003 745Li for Sale,,2003,100000,Petrol,4400.0,Automatic,cc,3450000.0
256,BMW 5 Series 5th (E60) Generation 2003 530i for Sale,,2003,170000,Petrol,3000.0,Automatic,cc,4480000.0
257,BMW iX3  2021 M Sport for Sale,,2021,34000,Electric,80.0,Automatic,kWh,20000000.0
258,BMW iX3  2021 M Sport for Sale,,2021,28000,Electric,80.0,Automatic,kWh,18100000.0
259,BMW 7 Series  2024 i7 xDrive50 M Sport for Sale,,2024,9000,Electric,101.7,Automatic,kWh,64900000.0
260,BMW X1  2021 sDrive18i A/T for Sale,,2021,45000,Petrol,1500.0,Automatic,cc,11399999.999999998
261,BMW 3 Series  1997  for Sale,,1997,210000,Petrol,1600.0,Automatic,cc,2100000.0
262,BMW 7 Series 4th (E65) Generation 2006 745Li for Sale,,2006,219000,Petrol,4400.0,Automatic,cc,4250000.0
263,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3000,Electric,105.0,Automatic,kWh,
264,BMW 5 Series 5th (E60) Generation 2003 530i for Sale,,2003,200000,Petrol,3000.0,Automatic,cc,4700000.0
265,BMW i5  2025 eDrive40 M Sport for Sale,,2025,10000,Electric,81.0,Automatic,kWh,45000000.0
266,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,12000,Electric,1057.0,Automatic,kWh,59900000.0
267,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,4000,Electric,105.0,Automatic,kWh,63300000.0
268,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,33000,Electric,105.0,Automatic,kWh,60000000.0
269,BMW i5  2023 eDrive40 M Sport for Sale,,2023,19800,Electric,81.0,Automatic,kWh,32000000.0
270,BMW iX3  2021 M Sport for Sale,,2021,28000,Electric,80.0,Automatic,kWh,18100000.0
271,BMW 7 Series  2024 i7 xDrive50 M Sport for Sale,,2024,9000,Electric,101.7,Automatic,kWh,64900000.0
272,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3000,Electric,105.0,Automatic,kWh,
273,BMW i5  2025 eDrive40 M Sport for Sale,,2025,10000,Electric,81.0,Automatic,kWh,45000000.0
274,BMW 2 Series  2021 218i Gran Coupe for Sale,,2021,18000,Petrol,1500.0,Automatic,cc,14000000.0
275,BMW 7 Series  2019 740 Le xDrive for Sale,,2019,38000,Hybrid,2000.0,Automatic,cc,
276,BMW X5  2014 xDrive35d for Sale,,2014,109000,Diesel,3000.0,Automatic,cc,13500000.0
277,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,24000,Electric,105.0,Automatic,kWh,57500000.0
278,BMW 5 Series 5th (E60) Generation 2004 525i for Sale,,2004,221000,Petrol,2500.0,Automatic,cc,3700000.0
279,BMW X1  2017 sDrive18i A/T for Sale,,2017,110000,Petrol,1500.0,Automatic,cc,6900000.0
280,BMW 3 Series  2004  for Sale,,2004,123,Petrol,4300.0,Manual,cc,3800000.0
281,BMW X1  2017 sDrive18i A/T for Sale,,2017,114000,Petrol,1500.0,Automatic,cc,6700000.0
282,BMW 3 Series  1997  for Sale,,1997,80000,Petrol,1800.0,Automatic,cc,2100000.0
283,BMW 3 Series  2004  for Sale,,2004,15000,Petrol,4000.0,Manual,cc,4500000.0
284,BMW X1  2019 sDrive18i A/T for Sale,,2019,146000,Petrol,1500.0,Automatic,cc,7500000.0
285,BMW iX  2022  for Sale,,2022,7747,Electric,71.0,Automatic,kWh,33000000.0
286,BMW iX  2022 xDrive50 for Sale,,2022,7500,Electric,105.0,Automatic,kWh,28500000.0
287,BMW X1  2017 sDrive18i A/T for Sale,,2017,29000,Petrol,1500.0,Automatic,cc,8500000.0
288,BMW iX  2022 xDrive40 for Sale,,2022,7700,Electric,71.0,Automatic,kWh,33000000.0
289,BMW i5  2025 eDrive40 for Sale,,2025,15,Electric,81.0,Automatic,kWh,46500000.0
290,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,62000,Hybrid,2000.0,Automatic,cc,37500000.0
291,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5000,Electric,105.0,Automatic,kWh,65000000.0
292,BMW 7 Series  2019 745Le xDrive for Sale,,2019,35598,Hybrid,3000.0,Automatic,cc,58500000.0
293,BMW X1  2018 sDrive18i M/T for Sale,,2018,95000,Petrol,1500.0,Automatic,cc,7900000.0
294,BMW iX1  2023  for Sale,,2023,400,Electric,64.0,Automatic,kWh,20000000.0
295,BMW 7 Series  2025 i7 M70 xDrive for Sale,,2025,22000,Electric,101.0,Automatic,kWh,73000000.0
296,BMW X1  2018 sDrive18i A/T for Sale,,2018,84800,Petrol,1500.0,Automatic,cc,9200000.0
297,BMW X5  2016 xDrive35d for Sale,,2016,99000,Diesel,3000.0,Automatic,cc,10200000.0
298,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,16000,Electric,105.0,Automatic,kWh,
299,BMW iX  2022  for Sale,,2022,7747,Electric,71.0,Automatic,kWh,33000000.0
300,BMW iX  2022 xDrive50 for Sale,,2022,7500,Electric,105.0,Automatic,kWh,28500000.0
301,BMW X1  2017 sDrive18i A/T for Sale,,2017,29000,Petrol,1500.0,Automatic,cc,8500000.0
302,BMW iX  2022 xDrive40 for Sale,,2022,7700,Electric,71.0,Automatic,kWh,33000000.0
303,BMW i5  2025 eDrive40 for Sale,,2025,15,Electric,81.0,Automatic,kWh,46500000.0
304,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,62000,Hybrid,2000.0,Automatic,cc,37500000.0
305,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5000,Electric,105.0,Automatic,kWh,65000000.0
306,BMW 7 Series  2019 745Le xDrive for Sale,,2019,35598,Hybrid,3000.0,Automatic,cc,58500000.0
307,BMW iX1  2023  for Sale,,2023,400,Electric,64.0,Automatic,kWh,20000000.0
308,BMW 7 Series  2025 i7 M70 xDrive for Sale,,2025,22000,Electric,101.0,Automatic,kWh,73000000.0
309,BMW 5 Series 5th (E60) Generation 2004 530i for Sale,,2004,79000,Petrol,3000.0,Automatic,cc,5000000.0
310,BMW 5 Series  2017 530e for Sale,,2017,17000,Hybrid,2000.0,Automatic,cc,27500000.0
311,BMW X1  2017 sDrive18i A/T for Sale,,2017,27000,Petrol,1500.0,Automatic,cc,7200000.0
312,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,6000,Electric,101.7,Automatic,kWh,60000000.0
313,BMW X5  2012 xDrive50i for Sale,,2012,95000,Petrol,4400.0,Automatic,cc,18000000.0
314,BMW X1  2017 sDrive18i A/T for Sale,,2017,154548,Petrol,1500.0,Automatic,cc,6850000.0
315,BMW 7 Series  2018 740 Le xDrive for Sale,,2018,30000,Hybrid,2000.0,Automatic,cc,42000000.0
316,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7L for Sale,,2013,105000,Hybrid,3000.0,Automatic,cc,18000000.0
317,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,800,Electric,105.0,Automatic,kWh,56500000.0
318,BMW 7 Series  2005  for Sale,,2005,110000,Petrol,4000.0,Automatic,cc,5400000.0
319,BMW 5 Series 5th (E60) Generation 2005 530i for Sale,,2005,108500,Petrol,3000.0,Automatic,cc,4000000.0
320,BMW X5  2021 xDrive45e for Sale,,2021,76831,PHEV,3000.0,Automatic,cc,50000000.0
321,BMW X5  2005 4.4i for Sale,,2005,133000,Petrol,4400.0,Automatic,cc,5850000.0
322,BMW X1  2017 sDrive18i A/T for Sale,,2017,103000,Petrol,1500.0,Automatic,cc,7200000.0
323,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7 for Sale,,2013,75000,Hybrid,3000.0,Automatic,cc,17500000.0
324,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,190000,Petrol,3000.0,Automatic,cc,4050000.0
325,BMW 3 Series 5th (E90) Generation 2005 320i for Sale,,2005,2000,Petrol,2000.0,Automatic,cc,4700000.0
326,BMW X3  2008  for Sale,,2008,92000,Petrol,2500.0,Automatic,cc,4000000.0
327,BMW 5 Series 5th (E60) Generation 2004 530i for Sale,,2004,53000,Petrol,3000.0,Automatic,cc,7000000.0
328,BMW X1  2017 sDrive18i A/T for Sale,,2017,123455,Petrol,1500.0,Automatic,cc,6300000.0
329,BMW 5 Series 5th (E60) Generation 2004 545i for Sale,,2004,220000,Petrol,4400.0,Automatic,cc,5700000.0
330,BMW X1  2017  for Sale,,2017,120000,Petrol,1500.0,Automatic,cc,6870000.0
331,BMW X5  2003 3.0i for Sale,,2003,250000,Petrol,3000.0,Automatic,cc,3800000.0
332,BMW 7 Series  2005  for Sale,,2005,288000,Diesel,3000.0,Automatic,cc,5000000.0
333,BMW 7 Series  2024 i7 xDrive60 M Sports for Sale,,2024,6800,Electric,105.0,Automatic,kWh,49500000.0
334,BMW 3 Series  2014 316i for Sale,,2014,36200,Petrol,1600.0,Automatic,cc,9500000.0
335,BMW 3 Series  2016 318i for Sale,,2016,105000,Petrol,1600.0,Automatic,cc,9450000.0
336,BMW M Series  2002  for Sale,,2002,182000,Petrol,3200.0,Manual,cc,14500000.0
337,BMW 7 Series  2024 i7 xDrive50 M Sport for Sale,,2024,7000,Electric,101.7,Automatic,kWh,62000000.0
338,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,62000,Hybrid,2000.0,Automatic,cc,38500000.0
339,BMW X5  2007 xDrive30d for Sale,,2007,103000,Diesel,3000.0,Automatic,cc,8475000.0
340,BMW iX3  2022 M Sport for Sale,,2022,13500,Electric,73.0,Automatic,kWh,20000000.0
341,BMW 3 Series  2013  for Sale,,2013,70000,Petrol,1600.0,Manual,cc,8000000.0
342,BMW M5  2019  for Sale,,2019,59000,Petrol,4400.0,Automatic,cc,45500000.0
343,BMW 3 Series  1996  for Sale,,1996,55000,Petrol,3000.0,Manual,cc,1850000.0
